"Name","CreationDate","Type","Genre","ResourceDocument"
"Chaturanga","0450","board","stratedgy","http://en.wikipedia.org/wiki/Chaturanga"
"Shatranj","0988","board","stratedgy","http://en.wikipedia.org/wiki/Shatranj"
"Chess","1200","board","stratedgy","http://en.wikipedia.org/wiki/Chess"
"Kriegsspiel","1812","war","stratedgy","http://en.wikipedia.org/wiki/Kriegsspiel_(wargame)"
"Little Wars","1913","war","stratedgy","http://en.wikipedia.org/wiki/Little_Wars"
"Cathode Ray Tube Amusement Device","1947-01","video","demo","http://en.wikipedia.org/wiki/Cathode_ray_tube_amusement_device"
"Bouncing Ball","1950-04","video","simulation","http://optimusreports.com/2013/01/15/1950-the-whirlwind-computer/"
"Checkers","1951-02","video","stratedgy","http://en.wikipedia.org/wiki/Early_history_of_video_games"
"NIM","1951-05","video","stratedgy","http://en.wikipedia.org/wiki/Nimrod_(computing)"
"OXO","1952","video","stratedgy","http://en.wikipedia.org/wiki/OXO"
"Tactics","1953","board","stratedgy","http://en.wikipedia.org/wiki/Tactics_(game)"
"Tennis for Two","1958-10","video","sports","http://en.wikipedia.org/wiki/Tennis_for_Two"
"Tic-Tac-Toe","1959","video","stratedgy","http://en.wikipedia.org/wiki/Early_history_of_video_games"
"Mouse in the Maze","1959","video","maze","http://en.wikipedia.org/wiki/First_video_game#Mouse_in_the_Maze.2C_Tic-Tac-Toe_.281959.29"
"Spacewar!","1961","video","shooter","http://en.wikipedia.org/wiki/Spacewar_(video_game)"
"ELIZA","1964","video","simulation","http://en.wikipedia.org/wiki/ELIZA"
"Siege of Bodenburg","1967","war","stratedgy","http://en.wikipedia.org/wiki/Siege_of_Bodenburg"
"Chase","1967","video","sports","http://en.wikipedia.org/wiki/History_of_video_game_consoles_(first_generation)"
"Ping-Pong","1968","video","sports","http://en.wikipedia.org/wiki/History_of_video_game_consoles_(first_generation)"
"Rocket","1969","video","simulation","http://en.wikipedia.org/wiki/Lunar_Lander_(video_game)"
"Trek","1969","video","stratedgy","http://en.wikipedia.org/wiki/Star_Trek_(text_game)"
"Chainmail","1971-03","war","stratedgy","http://en.wikipedia.org/wiki/Chainmail_(game)"
"Galaxy Game","1971-09","video","shooter","http://en.wikipedia.org/wiki/Galaxy_Game"
"Computer Space","1971-11","video","shooter","http://en.wikipedia.org/wiki/Computer_Space"
"Oregon Trail","1971","video","adventure","http://en.wikipedia.org/wiki/The_Oregon_Trail_(video_game)"
"Star Trek","1971","video","stratedgy","http://en.wikipedia.org/wiki/Star_Trek_(text_game)"
"Shooting Gallery","1972","video","gun","http://en.wikipedia.org/wiki/Shooting_Gallery_(game_accessory)"
"Pong","1972-09","video","sports","http://en.wikipedia.org/wiki/Pong"
"Maze War","1972","video","maze","http://en.wikipedia.org/wiki/Maze_war"
"Hunt the Wumpus","1972","video","stratedgy","http://en.wikipedia.org/wiki/Hunt_the_Wumpus"
"Empire","1973","video","stratedgy","http://en.wikipedia.org/wiki/Empire_(PLATO)"
"Moonlander","1973","video","simulation","http://en.wikipedia.org/wiki/Lunar_Lander_(video_game)"
"Space Race","1973-07-16","video","racing","http://en.wikipedia.org/wiki/Space_Race_(video_game)"
"Astro Race","1973","video","racing","http://www.arcade-museum.com/game_detail.php?game_id=6949"
"Pong Doubles","1973-07","video","sports","http://www.arcade-museum.com/game_detail.php?game_id=9075"
"Gotcha!","1973-10-11","video","maze","http://en.wikipedia.org/wiki/Gotcha_(video_game)"
"Star Trader","1974-01","video","stratedgy","http://en.wikipedia.org/wiki/Star_Trader"
"Dungeons & Dragons","1974","role-playing","stratedgy","http://en.wikipedia.org/wiki/Dungeons_and_Dragons"
"Pedit5","1975","video","roguelike","http://en.wikipedia.org/wiki/Pedit5"
"Orthanc","1975","video","roguelike","http://en.wikipedia.org/wiki/Pedit5"
"Dnd","1975","video","roguelike","http://en.wikipedia.org/wiki/Dnd_(video_game)"
"Speed Race","1974","video","racing","http://en.wikipedia.org/wiki/Tomohiro_Nishikado#Speed_Race"
"Orbitwar","1974","video","shooter","http://en.wikipedia.org/wiki/Spacewar_(video_game)"
"Rebound","1974-02","video","sports","http://en.wikipedia.org/wiki/Rebound_(video_game)"
"Spasim","1974-03-01","video","shooter","http://en.wikipedia.org/wiki/Spasim"
"Quadrapong","1974-03-04","video","sports","http://en.wikipedia.org/wiki/Elimination_(video_game)"
"Gran Track 10","1974-03-18","video","racing","http://en.wikipedia.org/wiki/Gran_Trak_10"
"Pin Pong","1974-10","video","pinball","http://en.wikipedia.org/wiki/Pong"
"Coupe du Monde","1974","video","sports","http://www.arcade-museum.com/game_detail.php?game_id=13703"
"Clean Sweep","1974","video","sports","http://www.arcade-museum.com/game_detail.php?game_id=7350"
"Basketball","1974","video","sports","http://en.wikipedia.org/wiki/Basketball_(1974_video_game)"
"One on One","1974-10","video","sports","http://www.old-computers.com/museum/software_detail.asp?c=1254&st=2&id=702"
"Tank","1974-11-05","video","shooter","http://en.wikipedia.org/wiki/Tank_(video_game)"
"Qwak!","1974-11-05","video","gun","http://en.wikipedia.org/wiki/Qwak!"
"Touch Me","1974-11-13","video","stratedgy","http://en.wikipedia.org/wiki/Touch_Me_(arcade_game)"
"Air Race","1974","video","simulation","http://classicgaming.gamespy.com/View.php?view=Articles.Detail&id=324"
"Super Star Trek","1974","video","stratedgy","http://en.wikipedia.org/wiki/Star_Trek_(text_game)"
